model_year,origin,mpg_mean
70,europe,25.2
70,japan,25.5
70,usa,15.272727272727273
71,europe,28.75
71,japan,29.5
71,usa,18.1
72,europe,22.0
72,japan,24.2
72,usa,16.27777777777778
73,europe,24.0
73,japan,20.0
73,usa,15.034482758620689
74,europe,27.0
74,japan,29.33333333333333
74,usa,18.33333333333333
75,europe,24.5
75,japan,27.5
75,usa,17.55
76,europe,24.25
76,japan,28.0
76,usa,19.431818181818183
77,europe,29.25
77,japan,27.41666666666667
77,usa,20.722222222222218
78,europe,24.95
78,japan,29.6875
78,usa,21.772727272727273
79,europe,30.45
79,japan,32.95
79,usa,23.47826086956522
80,europe,37.28888888888889
80,japan,35.4
80,usa,25.914285714285718
81,europe,31.575
81,japan,32.95833333333333
81,usa,27.530769230769234
82,europe,40.0
82,japan,34.888888888888886
82,usa,29.45
