Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents Advice,Internet usage,Finances,Age,Siblings,Gender,Village - town,Feels Lonely,Number of Siblings,Interested in Pets,Likes Techno
5.0,1.0,5.0,1.0,3.0,4.0,1.0,3.0,Never,few hours a day,3.0,20.0,1.0,female,village,False,0,Yes,False
4.0,1.0,5.0,1.0,5.0,5.0,1.0,2.0,Never,few hours a day,3.0,19.0,2.0,female,city,False,0,Yes,False
5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,Never,few hours a day,2.0,20.0,2.0,female,city,False,0,Yes,False
5.0,2.0,5.0,4.0,4.0,1.0,5.0,5.0,Never,most of the day,2.0,22.0,1.0,female,city,False,0,No,False
5.0,2.0,5.0,3.0,2.0,1.0,1.0,3.0,Never,few hours a day,4.0,20.0,1.0,female,village,True,0,No,False
5.0,1.0,5.0,5.0,2.0,2.0,1.0,2.0,Never,few hours a day,2.0,20.0,1.0,male,city,False,0,No,False
5.0,5.0,4.0,3.0,1.0,5.0,1.0,3.0,Never,less than an hour a day,4.0,20.0,1.0,female,village,False,0,Yes,True
5.0,3.0,5.0,5.0,1.0,5.0,1.0,2.0,Never,few hours a day,3.0,19.0,1.0,male,city,False,0,Yes,False
5.0,1.0,5.0,3.0,1.0,1.0,5.0,4.0,Never,few hours a day,2.0,18.0,1.0,female,city,True,0,No,False
5.0,1.0,5.0,3.0,3.0,2.0,3.0,2.0,Never,few hours a day,4.0,19.0,3.0,female,city,True,0,No,False
5.0,4.0,5.0,3.0,2.0,5.0,2.0,2.0,Never,less than an hour a day,2.0,19.0,2.0,female,city,False,0,Yes,True
5.0,1.0,5.0,2.0,1.0,1.0,5.0,4.0,Never,few hours a day,2.0,17.0,1.0,female,city,True,0,No,False
5.0,1.0,5.0,4.0,1.0,2.0,1.0,5.0,Never,few hours a day,4.0,24.0,10.0,female,city,False,0,No,False
5.0,1.0,5.0,2.0,1.0,5.0,3.0,2.0,Never,few hours a day,3.0,19.0,1.0,female,city,False,0,Yes,False
5.0,1.0,4.0,2.0,1.0,5.0,2.0,2.0,Never,most of the day,5.0,22.0,1.0,female,city,True,0,Yes,False
1.0,1.0,5.0,5.0,3.0,1.0,1.0,4.0,Never,few hours a day,3.0,18.0,0.0,male,city,True,0,No,False
5.0,4.0,5.0,1.0,1.0,5.0,5.0,2.0,Never,few hours a day,3.0,19.0,2.0,female,city,False,0,Yes,True
5.0,1.0,5.0,3.0,1.0,5.0,4.0,4.0,Never,few hours a day,1.0,20.0,1.0,female,village,False,0,Yes,False
5.0,4.0,5.0,3.0,5.0,4.0,1.0,4.0,Never,few hours a day,4.0,18.0,2.0,male,city,False,0,Yes,True
5.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,Never,few hours a day,2.0,18.0,1.0,male,city,False,0,No,False
5.0,3.0,5.0,5.0,2.0,3.0,2.0,2.0,Never,few hours a day,2.0,20.0,1.0,male,city,False,0,No,False
5.0,1.0,5.0,4.0,3.0,5.0,1.0,4.0,Never,few hours a day,2.0,24.0,1.0,male,city,True,0,Yes,False
5.0,3.0,5.0,3.0,1.0,5.0,5.0,3.0,Never,few hours a day,5.0,22.0,1.0,female,city,True,0,Yes,False
5.0,1.0,5.0,2.0,2.0,5.0,3.0,3.0,Never,few hours a day,2.0,20.0,3.0,female,city,False,0,Yes,False
5.0,3.0,5.0,4.0,2.0,3.0,5.0,4.0,Never,few hours a day,3.0,19.0,1.0,female,city,False,0,No,False
5.0,2.0,5.0,2.0,3.0,3.0,5.0,2.0,Never,few hours a day,2.0,20.0,1.0,female,city,True,0,No,False
5.0,2.0,5.0,3.0,2.0,5.0,1.0,4.0,Never,few hours a day,5.0,22.0,1.0,female,city,False,0,Yes,False
4.0,4.0,5.0,2.0,1.0,5.0,5.0,3.0,Never,few hours a day,3.0,19.0,1.0,female,city,False,0,Yes,True
5.0,3.0,5.0,5.0,1.0,3.0,4.0,3.0,Never,few hours a day,3.0,20.0,2.0,male,village,True,0,No,False
5.0,3.0,5.0,5.0,2.0,2.0,5.0,3.0,Never,few hours a day,4.0,19.0,2.0,female,village,False,0,No,False
4.0,3.0,5.0,2.0,1.0,3.0,5.0,2.0,Never,few hours a day,2.0,25.0,1.0,male,city,True,0,No,False
4.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,Never,less than an hour a day,4.0,22.0,1.0,female,city,False,0,No,False
5.0,3.0,5.0,4.0,1.0,5.0,5.0,1.0,Never,few hours a day,1.0,20.0,4.0,female,city,False,0,Yes,False
5.0,1.0,4.0,5.0,2.0,5.0,4.0,3.0,Never,few hours a day,2.0,27.0,1.0,female,city,False,0,Yes,False
5.0,1.0,5.0,4.0,3.0,1.0,2.0,2.0,Never,few hours a day,3.0,20.0,5.0,male,city,False,0,No,False
5.0,1.0,5.0,1.0,1.0,5.0,4.0,3.0,Rarely,few hours a day,3.0,19.0,1.0,female,village,False,0,Yes,False
5.0,1.0,5.0,4.0,3.0,5.0,5.0,2.0,Rarely,few hours a day,5.0,18.0,1.0,female,city,False,0,Yes,False
5.0,1.0,4.0,3.0,3.0,3.0,,3.0,Rarely,few hours a day,3.0,21.0,1.0,male,city,False,0,No,False
5.0,4.0,5.0,3.0,3.0,5.0,5.0,4.0,Rarely,few hours a day,5.0,23.0,1.0,female,village,False,0,Yes,True
5.0,2.0,4.0,4.0,1.0,5.0,5.0,4.0,Rarely,few hours a day,3.0,21.0,1.0,female,city,False,0,Yes,False
4.0,3.0,5.0,2.0,2.0,2.0,5.0,3.0,Rarely,few hours a day,3.0,26.0,1.0,female,city,False,0,No,False
5.0,5.0,3.0,5.0,5.0,3.0,1.0,1.0,Rarely,few hours a day,3.0,20.0,3.0,male,city,False,0,No,True
5.0,3.0,5.0,2.0,5.0,5.0,5.0,3.0,Rarely,few hours a day,5.0,19.0,0.0,female,city,True,0,Yes,False
